movieId,title_cast,director,plot_keywords,genres,title,year
14,AnthonyHopkins JoanAllen PowersBoothe EdHarris BobHoskins,oliverstone,american president american politics paranoia u.s. president,Drama,Nixon (1995),1995
15,GeenaDavis MatthewModine FrankLangella MauryChaykin PatrickMalahide,michaelfrostbeckner,treasure pirate treasure map pirate ship,Action Adventure Romance,Cutthroat Island (1995),1995
16,RobertDeNiro SharonStone JoePesci JamesWoods DonRickles,nicholaspileggi,crime epic casino gambling gangster,Crime Drama,Casino (1995),1995
17,JamesFleet TomWilkinson HarrietWalter KateWinslet EmmaThompson,janeausten,england 19th century based on novel black hair,Drama Romance,Sense and Sensibility (1995),1995
18,SammiDavis AmandaDeCadenet ValeriaGolino Madonna IoneSkye,alexandrerockwell,woman gagged woman tied to a chair weapon,Comedy,Four Rooms (1995),1995
19,JimCarrey IanMcNeice SimonCallow MaynardEziashi BobGunton,jackbernstein,male objectification kidnapping caught masturbating fictional country,Comedy,Ace Ventura: When Nature Calls (1995),1995
20,WesleySnipes WoodyHarrelson JenniferLopez RobertBlake ChrisCooper,dougrichardson,train subway loan shark new year's eve,Action Comedy Crime Drama Thriller,Money Train (1995),1995
21,JohnTravolta GeneHackman ReneRusso DannyDeVito DennisFarina,elmoreleonard,movie business loan shark debt mobster,Comedy Crime Thriller,Get Shorty (1995),1995
22,SigourneyWeaver HollyHunter DermotMulroney WilliamMcNamara HarryConnickJr.,annbiderman,serial killer psychopath dead body in a bathtub detective,Crime Drama Horror Mystery Thriller,Copycat (1995),1995
23,SylvesterStallone AntonioBanderas JulianneMoore AnatoliDavydov MuseWatson,lillywachowski,assassin rival assassination computer hacker,Action Crime Thriller,Assassins (1995),1995
24,MarySteenburgen SeanPatrickFlanery LanceHenriksen JeffGoldblum BrandonSmith,victorsalva,albino electricity loneliness bully,Drama Sci-Fi,Powder (1995),1995
25,NicolasCage ElisabethShue JulianSands RichardLewis StevenWeber,johno'brien,prostitute alcoholism alcoholic falling in love with a prostitute,Drama Romance,Leaving Las Vegas (1995),1995
26,LaurenceFishburne IrèneJacob KennethBranagh NathanielParker MichaelMaloney,oliverparker,italy black man white woman marriage black man white woman sex black man white woman kiss,Drama,Othello (1995),1995
27,ChristinaRicci RosieO'Donnell ThoraBirch MelanieGriffith GabyHoffmann,i.marleneking,1970s year 1991 1990s year 1970,Children Drama,Now and Then (1995),1995
28,AmandaRoot CiaránHinds SusanFleetwood CorinRedgrave FionaShaw,rogermichell,captain accident napoleonic wars marriage,Drama Romance,Persuasion (1995),1995
29,RonPerlman DanielEmilfork JudithVittet DominiquePinon Jean-ClaudeDreyfus,jean-pierrejeunet,psychotronic film underwater scene children dream,Adventure Drama Fantasy Mystery Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995
30,LiGong BaotianLi XiaoxiaoWang XuejianLi ChunSun,feiyubi,nan,Crime Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995
31,MichellePfeiffer GeorgeDzundza CourtneyB.Vance RobinBartlett BeatriceWinde,louannejohnson,teacher student relationship ex marine pregnancy high school principal,Drama,Dangerous Minds (1995),1995
32,JosephMelito BruceWillis JonSeda MichaelChance VernonCampbell,chrismarker,time travel virus mental institution underground,Mystery Sci-Fi Thriller,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995
33,CraigSheffer TomHulce ElizabethMcGovern ValKilmer KenPogue,alaingodard,airmail period piece 3 dimensional,Adventure Romance IMAX,Wings of Courage (1995),1995
34,ChristineCavanaugh MiriamMargolyes DannyMann HugoWeaving MiriamFlynn,dickking-smith,farmer pig sheep farm,Children Drama,Babe (1995),1995
35,EmmaThompson JonathanPryce StevenWaddington SamuelWest RufusSewell,christopherhampton,writer gay rape f rated,Drama Romance,Carrington (1995),1995
36,SusanSarandon SeanPenn RobertProsky RaymondJ.Barry R.LeeErmey,helenprejean,nun solitary confinement execution capital punishment,Crime Drama,Dead Man Walking (1995),1995
37,PeterReznick JohnMcDonough AviHoffman VictorSteinbach PeterBoyden,stephenlow,donald trump immigrant 11 year old brooklyn new york city,Documentary IMAX,Across the Sea of Time (1995),1995
38,KirstieAlley SteveGuttenberg Mary-KateOlsen AshleyOlsen PhilipBosco,deborahdeandavis,mistaken identity identity swapping nylon stockings child plays matchmaker,Children Comedy,It Takes Two (1995),1995
39,AliciaSilverstone StaceyDash BrittanyMurphy PaulRudd DonaldFaison,amyheckerling,miniskirt girl wears a miniskirt short skirt virgin,Comedy Romance,Clueless (1995),1995
40,JamesEarlJones RichardHarris VusiKunene CharlesS.Dutton TsholofeloWechoemang,ronaldharwood,1940s racial tension apartheid south africa,Drama,"Cry, the Beloved Country (1995)",1995
41,ChristopherBowen EdwardJewesbury IanMcKellen BillPaterson AnnetteBening,ianmckellen,fascist dog tank battle,Drama War,Richard III (1995),1995
42,LarenzTate KeithDavid ChrisTucker FreddyRodríguez RoseJackson,allenhughes,vietnam war 1960s black panthers new york city,Action Crime Drama,Dead Presidents (1995),1995
43,RobertDowneyJr. SamNeill DavidThewlis PollyWalker MegRyan,rosetremain,17th century plague based on novel king charles ii,Drama,Restoration (1995),1995
44,ChristopherLambert RobinShou LindenAshby Cary-HiroyukiTagawa BridgetteWilson-Sampras,edboon,based on video game campy evil man villain,Action Adventure Fantasy,Mortal Kombat (1995),1995
45,NicoleKidman MattDillon JoaquinPhoenix CaseyAffleck IlleanaDouglas,joycemaynard,scantily clad female new hampshire television coitus,Comedy Drama Thriller,To Die For (1995),1995
46,KaelynnCraddick SaraCraddick KateCapshaw AdamBaldwin WinonaRyder,whitneyotto,younger version of character triple f rated title directed by female love,Drama Romance,How to Make an American Quilt (1995),1995
47,MorganFreeman AndrewKevinWalker DanielZacapa BradPitt GwynethPaltrow,andrewkevinwalker,serial killer detective serial murder seven deadly sins,Mystery Thriller,Seven (a.k.a. Se7en) (1995),1995
48,JoeBaker ChristianBale IreneBedard BillyConnolly JamesApaumutFall,ericgoldberg,unsubtitled foreign language disobedience pocahontas character captain john smith character,Animation Children Drama Musical Romance,Pocahontas (1995),1995
49,PascaleBussières RachaelCrawford HenryCzerny DavidFox DonMcKellar,patriciarozema,christian teacher scissoring tribadism,Drama Romance,When Night Is Falling (1995),1995
50,StephenBaldwin GabrielByrne BenicioDelToro KevinPollak KevinSpacey,christophermcquarrie,criminal suspect criminal mastermind flashback,Crime Mystery Thriller,"Usual Suspects, The (1995)",1995
51,CynthiaRothrock DanielMcVicar LydieDenier MarshallR.Teague KenMcLeod,richardw.munchkin,murder of a police officer shooting a police officer police officer police officer killed,Action Drama Thriller,Guardian Angel (1994),1994
52,PamelaBlair ReneCeballos ElieChaib GeorgeDeLaPena JoanneDiMauro,woodyallen,new york city talking about sex husband wife relationship hot,Comedy Drama Romance,Mighty Aphrodite (1995),1995
53,EnricoLoVerso MichelePlacido PiroMilkani CarmeloDiMazzarelli ElidaJanushi,gianniamelio,albania one word title poverty fraud,Adventure Drama,Lamerica (1994),1994
54,SteveGuttenberg Oliviad'Abo JayO.Sanders JohnTerry ChaunceyLeopardi,hollygoldbergsloan,close up of eyes texas fast motion sports team,Children Comedy,"Big Green, The (1995)",1995
55,JenniferJasonLeigh MareWinningham TedLevine MaxPerlich JohnDoe,barbaraturner,voyeur sex in bed female rear nudity female frontal nudity,Drama,Georgia (1995),1995
56,JohnnyMorina MaggieCastle ChristopherOlscamp JustinBorntraeger BillyCoyle,roberttinnell,sword magic 11 year old boy,Adventure Children Comedy Fantasy,Kids of the Round Table (1995),1995
57,HollyHunter RobertDowneyJr. AnneBancroft CharlesDurning DylanMcDermott,chrisradant,thanksgiving gay sibling female protagonist dysfunctional family,Drama,Home for the Holidays (1995),1995
58,PhilippeNoiret MassimoTroisi MariaGraziaCucinotta RenatoScarpa LindaMoretti,massimotroisi,postman poetry island poet,Comedy Drama Romance,"Postman, The (Postino, Il) (1994)",1994
59,LothaireBluteau PatrickGoyette Jean-LouisMillette KristinScottThomas RonBurrage,robertlepage,reference to joan of arc 1950s priest hitchcockian,Drama Mystery,"Confessional, The (Confessionnal, Le) (1995)",1995
60,HalScardino Litefoot LindsayCrouse RichardJenkins RishiBhat,lynnereidbanks,robocop character five word title child protagonist miniature person,Adventure Children Fantasy,"Indian in the Cupboard, The (1995)",1995
61,SallyField EdHarris OliviaBurnette AlexandraKyle KieferSutherland,erikaholzer,pantyhosed leg rape vigilante rape and murder,Drama Thriller,Eye for an Eye (1996),1996
62,RichardDreyfuss GlenneHeadly JayThomas OlympiaDukakis WilliamH.Macy,patricksheaneduncan,teaching high school 1990s deafness,Drama,Mr. Holland's Opus (1995),1995
63,ShawnWayans MarlonWayans TraceyCherelleJones ChrisSpencer SuliMcCullough,southcentral,hood parody grandmother cult film,Comedy Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996
64,DenisLeary SandraBullock StephenDillane YaphetKotto MikeStarr,denisleary,painting island thief voyeur,Comedy Romance,Two if by Sea (1996),1996
65,WilliamAtherton DeniseDowse DaraTomanovich KevinWest KylieMinogue,adamleff,bio dome experiment biosphere slapstick comedy,Comedy,Bio-Dome (1996),1996
66,PatrickBergin MattFrewer AustinO'Brien ElyPouget CamilleCooper,farhadmann,psychotronic film computer parking garage sword,Action Sci-Fi Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1996
67,JerryBarone MaryElizabethMastrantonio AlPacino PatrickBorriello AndyRomano,josephstefano,man wears eyeglasses old man suicide by hanging great depression,Drama,Two Bits (1995),1995
68,VictoriaAbril JosianeBalasko AlainChabat TickyHolgado CatherineHiegel,patrickaubrée,f rated lesbian strong female character polyamorous relationship,Comedy Romance,French Twist (Gazon maudit) (1995),1995
69,IceCube ChrisTucker NiaLong Tommy'Tiny'Lister JohnWitherspoon,icecube,adult lives at home hat drug user drug,Comedy,Friday (1995),1995
70,GeorgeClooney QuentinTarantino HarveyKeitel JulietteLewis ErnestLiu,robertkurtzman,sex offender vampire stripper rape victim,Action Comedy Horror Thriller,From Dusk Till Dawn (1996),1996
71,WilliamBaldwin CindyCrawford StevenBerkoff ChristopherMcDonald MiguelSandoval,paulagosling,female lawyer spy based on novel woman in jeopardy,Action,Fair Game (1995),1995
72,JoshHamilton SamuelGould CatherineKellner JonathanBaumbach JohnLehr,noahbaumbach,female stockinged legs pantyhose slacker beer drinking,Comedy Drama,Kicking and Screaming (1995),1995
73,Jean-PaulBelmondo MichelBoujenah AlessandraMartines SaloméLelouch AnnieGirardot,victorhugo,lawyer boxer jewish paris france,Drama War,"Misérables, Les (1995)",1995
74,ChristianSlater MaryStuartMasterson PamelaAdlon JoshBrolin BrianTarantina,michaelgoldenberg,florist flower widower rooftop,Drama Romance,Bed of Roses (1996),1996
75,RickMoranis TomArnold JuliannePhillips CarolKane JeffreyTambor,markstevenjohnson,close up of eyes close up of lips close up of mouth bully,Comedy Drama,Big Bully (1996),1996
76,PeterWeller RoyDupuis JenniferRubin AndrewLauer CharlesEdwinPowell,philipk.dick,stop motion matte painting miniature model shakespearean quotation,Action Sci-Fi Thriller,Screamers (1995),1995
77,Nico TinaAumont ChristianPäffgen EdithBoulogne JacksonBrowne,susanneofteringer,f rated female musician singer songwriter interview,Documentary,Nico Icon (1995),1995
78,JackNicholson DavidMorse AnjelicaHuston RobinWright PiperLaurie,seanpenn,hit and run obsession forgiveness loneliness,Action Crime Drama Thriller,"Crossing Guard, The (1995)",1995
79,DemiMoore AlecBaldwin JosephGordon-Levitt JamesGandolfini LindsayCrouse,georgedawesgreen,female frontal nudity female nudity ankle holster ankle,Drama Thriller,"Juror, The (1996)",1996
80,AidaMohammadkhani MohsenKafili FereshtehSadreOrafaiy AnnaBorkowska MohammadShahani,abbaskiarostami,money little girl shopkeeper snake charmer,Children Drama,"White Balloon, The (Badkonake sefid) (1995)",1995
81,AndyGarcia ChristopherLloyd WilliamForsythe BillNunn TreatWilliams,scottrosenberg,debt contract killer one last job gangster,Crime Drama Romance,Things to Do in Denver When You're Dead (1995),1995
82,WillekevanAmmelrooy ElsDottermans DoravanderGroen VeerlevanOverloop EstherVriesendorp,marleengorris,f rated feminist film character name as title one word title,Comedy Drama,Antonia's Line (Antonia) (1995),1995
83,AlFreemanJr. PhyliciaRashad Leon PaulaKelly SalliRichardson-Whitfield,cliftonl.taulbert,segregation rural setting race relations prejudice,Drama Romance,Once Upon a Time... When We Were Colored (1995),1995
84,VictoriaFoyt VivecaLindfors JonRobinBaitz SavannahSmithBoucher RoscoeLeeBrowne,henryjaglom,f rated long island actress written and directed by cast member,Comedy Drama,Last Summer in the Hamptons (1995),1995
85,MarkRylance KristinScottThomas PatsyKensit JeremyKemp DouglasHenshall,a.s.byatt,aristocrat insect england bare chested male,Drama Romance,Angels and Insects (1995),1995
86,JeffBridges CarolineGoodall JohnSavage ScottWolf JeremySisto,charlesgiegjr.,sail squall storm male bonding,Action Adventure Drama,White Squall (1996),1996
87,JasonAlexander FayeDunaway EricLloyd RupertEverett GrahamSack,johnhopkins,brother brother relationship air duct hotel owner concierge,Children Comedy,Dunston Checks In (1996),1996
88,ChrisFarley DavidSpade TimMatheson ChristineEbersole GaryBusey,fredwolf,clumsiness embarrassment political campaign slapstick comedy,Comedy,Black Sheep (1996),1996
89,JohnnyDepp CourtneyChase CharlesS.Dutton ChristopherWalken RomaMaffia,patricksheaneduncan,real time conservatism vigilantism character repeats someone else's dialogue,Action Thriller,Nick of Time (1995),1995
90,JasonPatric ThandieNewton LarryDrake SamWaterston Sarah-JaneWylde,johnduigan,slave freedom slave owner law,Drama,The Journey of August King (1995),1995
92,JuliaRoberts JohnMalkovich GeorgeCole MichaelGambon KathyStaff,valeriemartin,housemaid servant laboratory butler,Drama Horror Thriller,Mary Reilly (1996),1996
93,EddieMurphy AngelaBassett AllenPayne KadeemHardison JohnWitherspoon,eddiemurphy,vampire yellow eyes african american brooklyn new york city,Comedy Horror Romance,Vampire in Brooklyn (1995),1995
94,MattDillon NoahEmmerich AnnabethGish LaurenHolly TimothyHutton,scottrosenberg,cheating wife skank loves knows no age boundaries bangs,Comedy Drama Romance,Beautiful Girls (1996),1996
95,JohnTravolta ChristianSlater SamanthaMathis DelroyLindo BobGunton,grahamyost,male male relationship good versus evil evil man villain,Action Adventure Thriller,Broken Arrow (1996),1996
96,RichardBriers HettaCharnley JoanCollins NicholasFarrell MarkHadfield,kennethbranagh,christmas actor play british renaissance,Comedy Drama,In the Bleak Midwinter (1995),1995
97,VincentCassel HubertKoundé SaïdTaghmaoui AbdelAhmedGhili Solo,mathieukassovitz,police arab gun ghetto,Crime Drama,"Hate (Haine, La) (1995)",1995
98,SadieFrost JudeLaw SeanPertwee FraserJames SeanBean,paulw.s.anderson,shopping shop shopping mall stealing,Action Thriller,Shopping (1994),1994
99,NickBroomfield NinaXiningZuo MadamAlex CorinneBohrer MikeBrambles,nickbroomfield,narration prostitution,Documentary,Heidi Fleiss: Hollywood Madam (1995),1995
100,AlPacino JohnCusack BridgetFonda DannyAiello MartinLandau,kenlipper,mayor dealer drug dealer deputy mayor,Drama Thriller,City Hall (1996),1996
101,LukeWilson OwenWilson NedDowd SheaFowler HaleyMiller,owenwilson,texas caper dark comedy motel,Adventure Comedy Crime Romance,Bottle Rocket (1996),1996
102,EllenDeGeneres BillPullman JoanCusack DeanStockwell JoanPlowright,chrismatheson,date single woman television studio stalker,Comedy,Mr. Wrong (1996),1996
103,RayLiotta LindaFiorentino PeterCoyote ChristopherMcDonald DavidPaymer,billgeddie,self experimentation implanted memory murder memory,Mystery Sci-Fi Thriller,Unforgettable (1996),1996
104,AdamSandler ChristopherMcDonald JulieBowen FrancesBay CarlWeathers,timherlihy,golf golf ball golf course black panties,Comedy,Happy Gilmore (1996),1996
105,ClintEastwood MerylStreep AnnieCorley VictorSlezak JimHaynie,merylstreep,bridge love farm photographer,Drama Romance,"Bridges of Madison County, The (1995)",1995
106,MariaSchrader PierreSanoussi-Bliss MichaelvonAu ElisabethTrissenaar IngoNaujoks,dorisdörrie,f rated female nudity bath,Comedy Drama,Nobody Loves Me (Keiner liebt mich) (1994),1994
107,TimCurry BillyConnolly JenniferSaunders KevinBishop DaveGoelz,davidlane,breaking the fourth wall miss piggy character swedish chef character kermit the frog character,Adventure Children Comedy Musical,Muppet Treasure Island (1996),1996
108,ChristyTurlington AzzedineAlaïa GiorgioArmani NadjaAuermann SandraBernhard,robertleacock,fashion paris france one word title new york city,Documentary,Catwalk (1996),1996
109,RaymondJ.Barry RustamBranaman JenniferMacDonald TaylorNichols DavidSelby,jamesbruce,topless bar topless stripper jeans,Comedy Drama Thriller,Headless Body in Topless Bar (1995),1995
110,JamesRobinson SeanLawlor SandyNelson JamesCosmo SeanMcGinley,randallwallace,scotland revolt based on true story england,Action Drama War,Braveheart (1995),1995
111,nan,nan,nan,Crime Drama Thriller,Taxi Driver (1976),1976
112,JackieChan AnitaMui FrançoiseYip BillTung MarcAkerstream,edwardtang,coors light coast guard helicopter collapsing building,Action Adventure Comedy Crime,Rumble in the Bronx (Hont faan kui) (1995),1995
113,MerylStreep LiamNeeson EdwardFurlong JuliaWeldon AlfredMolina,rosellenbrown,based on novel suspect lie boyfriend girlfriend relationship,Drama Mystery,Before and After (1996),1996
114,HelenaBonhamCarter CliveRussell CraigOlejnik KateNelligan KennethWelsh,sheldoncurrie,alliteration in title two word title name in title female name in title,Drama,Margaret's Museum (1995),1995
115,MichelSerrault EddyMitchell SabineAzéma CarmenMaura FrançoisMorel,étiennechatiliez,claim in title rural setting gascony missing person,Comedy,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",1995
116,KennethBranagh JannyBrandes-Brilslijper GlennClose RoseDeLiema SalDeLiema,jonblair,reference to anne frank 1940s 1930s soldier,Documentary,Anne Frank Remembered (1995),1995
117,TobiasArnold RuthSheen RogerLloydPack HughO'Conor NormanCaro,benjaminross,poisoner murderer death by poison murder by poison,Crime Drama,"Young Poisoner's Handbook, The (1995)",1995
118,SarahJessicaParker EricSchaeffer BenStiller ElleMacpherson JamesRebhorn,ericschaeffer,love roommate new york city lingerie slip,Comedy Romance,If Lucy Fell (1996),1996
119,AndyGarcia AlanArkin RachelTicotin JoePantoliano HollandTaylor,andrewdavis,lawyer estate twin brother brother brother relationship,Comedy,"Steal Big, Steal Little (1995)",1995
120,HalleBerry JimBelushi BillHunter CaseyAffleck ElizaDushku,barrymorrow,high school student teenage boy teenage girl solar car,Adventure Comedy Drama,Race the Sun (1996),1996
121,HenryCzerny JohnnyMorina BrianDooley PhilipDinn BrianDodd,deswalsh,orphanage boy priest sexual abuse,Drama,"Boys of St. Vincent, The (1992)",1992
122,EddieMurphy RobinGivens HalleBerry DavidAlanGrier MartinLawrence,barryw.blaustein,advertising executive african american protagonist yuppie chauvinist,Comedy Romance,Boomerang (1992),1992
123,BrigitteLin TonyChiu-WaiLeung FayeWong TakeshiKaneshiro ValerieChow,kar-waiwong,hong kong spoken inner thoughts drug smuggling expiration date,Drama Mystery Romance,Chungking Express (Chung Hing sam lam) (1994),1994
124,SergioCastellitto TizianaLodato FrancoScaldati LeopoldoTrieste CleliaRondinella,giuseppetornatore,girl nipples breasts unfaithfulness,Drama,"Star Maker, The (Uomo delle stelle, L') (1995)",1995
125,BenStiller PatriciaArquette TéaLeoni MaryTylerMoore GeorgeSegal,davido.russell,road movie husband wife relationship overalls dysfunctional family,Comedy,Flirting With Disaster (1996),1996
126,JasonJamesRichter MelodyKay JackBlack CaroleFinn RyanBollman,jefflieberman,sequel by name only cult film playing guitar new kid in school,Adventure Children Fantasy,"NeverEnding Story III, The (1994)",1994
127,HindSabri GhaliaLacroix NejiaOuerghi AmelHedhili KamelFazaa,nouribouzid,belly dancing pregnant from rape teenage sexuality pregnant woman vomiting,Drama,"Silences of the Palace, The (Saimt el Qusur) (1994)",1994
128,MaggieCogan KatinaPendleton,michelnegroponte,central park american society for the prevention of cruelty to animals park actor,Documentary,Jupiter's Wife (1994),1994
129,JoshCharles AnneHeche JohnGoodman ChristineLahti ChristineEbersole,bryangordon,dance traffic jam traffic helicopter,Comedy Romance,Pie in the Sky (1996),1996
130,MirandaRhyne CharlotteEveBlythe AnnaThomson JohnVentimiglia RuthMaleczech,rebeccamiller,girl mental illness tween girl sister sister relationship,Drama,Angela (1995),1995
131,CorbanWalker NiallToibin OwenRoe GabrielByrne AnneParillaud,ronano'leary,boy ireland writer flashback,Drama Romance,Frankie Starlight (1995),1995
132,DavidCaruso LindaFiorentino ChazzPalminteri RichardCrenna MichaelBiehn,joeeszterhas,female full frontal nudity murder of a nude woman panties pulled down breasts,Thriller,Jade (1995),1995
133,LuisitoMartí CaridadRavelo RaúlCarbonell RafaelVillalona JoelGarcia,ángelmuñiz,new york intentionally misspelled title snowman snowball fight,Comedy Drama,Nueba Yol (1995),1995
134,LloydDunn ChrisGrigg MarkHosler DonJoyce DougKahn,craigbaldwin,copyright guerilla art media,Documentary,Sonic Outlaws (1995),1995
135,KelseyGrammer LaurenHolly RobSchneider HarryDeanStanton BruceDern,hughwilson,woman in uniform cook electrician sonar operator,Comedy,Down Periscope (1996),1996
136,MaryBethHurt JeanSeberg,markrappaport,marriage fbi black panthers politics,Documentary,From the Journals of Jean Seberg (1995),1995
137,VivianPaxton ClaudetteSutherland MichaelOrnstein CalBartlett MaryStein,dirkshafer,magazine centerfold contest date,Documentary,Man of the Year (1995),1995
138,JacobTierney DrakeBell GenaRowlands DianaScarwid DenisLeary,terencedavies,teenage boy 1940s british renaissance georgia,Drama,"Neon Bible, The (1995)",1995
139,MohanAgashe BarunChakraborty Champa GyaneshMukherjee OmPuri,sandipray,nan,Action Drama,Target (1995),1995
140,RobertRedford MichellePfeiffer StockardChanning JoeMantegna KateNelligan,joandidion,mentor protege relationship journalism television news television broadcast,Drama Romance,Up Close and Personal (1996),1996
141,RobinWilliams GeneHackman NathanLane DianneWiest DanFutterman,jeanpoiret,gay father remake of french film based on play transvestism,Comedy,"Birdcage, The (1996)",1996
142,nan,nan,nan,Drama,Shadows (Cienie) (1988),1988
143,MartinSheen MichaelYork MorganFairchild PaulGuilfoyle GeorgeCoe,ivanaralica,priest nun semi religious propaganda,Drama,Gospa (1995),1995
144,ShariAlbert MaxineBahns CatharineBolz ConnieBritton EdwardBurns,edwardburns,irish catholic long island low budget film loss of father,Comedy,"Brothers McMullen, The (1995)",1995
145,LisaBoyle MichaelTaliferro EmmanuelXuereb TchékyKaryo MarcMacaulay,georgegallo,criminal investigation murder investigation usa united states,Action Comedy Crime Drama Thriller,Bad Boys (1995),1995
146,StephenLang RyanSlater YiDing WangFei ZhouJianZhong,johnwilcox,boyfriend girlfriend relationship actor shares first name with character no opening credits panda,Adventure Children,"Amazing Panda Adventure, The (1995)",1995
147,LeonardoDiCaprio LorraineBracco MarilynSokol JamesMadio PatrickMcGaw,jimcarroll,addiction childhood friend student athlete basketball,Drama,"Basketball Diaries, The (1995)",1995
148,AlanRickman HughGrant GeorginaCates AlunArmstrong PeterFirth,mikenewell,accidental incest overalls speech man wears eyeglasses,Drama,"Awfully Big Adventure, An (1995)",1995
149,IsabelleHuppert MartinDonovan ElinaLöwensohn DamianYoung ChuckMontgomery,halhartley,pornographer new york city nun amnesia,Crime Drama Thriller,Amateur (1994),1994
150,TomHanks BillPaxton KevinBacon GarySinise EdHarris,jimlovell,1970s survival astronaut space mission,Adventure Drama IMAX,Apollo 13 (1995),1995
151,LiamNeeson JessicaLange JohnHurt TimRoth EricStoltz,alansharp,scotland highlands 18th century flintlock pistol,Action Drama Romance War,Rob Roy (1995),1995
152,LiliTaylor ChristopherWalken AnnabellaSciorra EdieFalco PaulCalderon,nicholasst.john,psychotronic film vampire new york drugs,Drama Horror,"Addiction, The (1995)",1995
153,ValKilmer TommyLeeJones JimCarrey NicoleKidman ChrisO'Donnell,bobkane,bruce wayne character batman character alfred pennyworth character harvey dent character,Action Adventure Comedy Crime,Batman Forever (1995),1995
154,nan,nan,nan,Drama,Beauty of the Day (Belle de jour) (1967),1967
155,PatriciaArquette UAungKo FrancesMcDormand SpaldingGray TiaraJacquelina,johnboorman,burma escape dictatorship doctor,Adventure Drama War,Beyond Rangoon (1995),1995
156,LouReed MichaelJ.Fox RoseanneBarr MelGorham JimJarmusch,waynewang,bare breasts topless female nudity husband wife relationship cigar smoking,Comedy Drama,Blue in the Face (1995),1995
157,JohnCandy AlanAlda RheaPerlman KevinPollak RipTorn,michaelmoore,international relations the white house united states president,Comedy War,Canadian Bacon (1995),1995
158,ChaunceyLeopardi SpencerVrooman MalachiPearson CathyMoriarty EricIdle,josephoriolo,ghost mansion spirit friendly ghost,Adventure Children,Casper (1995),1995
159,HarveyKeitel JohnTurturro DelroyLindo MekhiPhifer IsaiahWashington,richardprice,italian american jewish american brooklyn bridge reference to rosa parks,Crime Drama Mystery,Clockers (1995),1995
160,LauraLinney DylanWalsh ErnieHudson TimCurry GrantHeslov,michaelcrichton,lost city gorilla diamond talking gorilla,Action Adventure Mystery Sci-Fi,Congo (1995),1995
161,DenzelWashington GeneHackman MattCraven GeorgeDzundza ViggoMortensen,michaelschiffer,submarine u.s. navy 1990s submarine captain,Drama Thriller War,Crimson Tide (1995),1995
162,RobertCrumb AlineKominsky-Crumb CharlesCrumb MaxonCrumb RobertHughes,robertcrumb,robert crumb cartoonist underground comic psychotronic film,Documentary,Crumb (1994),1994
163,AntonioBanderas SalmaHayek JoaquimdeAlmeida CheechMarin SteveBuscemi,robertrodriguez,contemporary western mexican one against many lone wolf,Action Romance Western,Desperado (1995),1995
